is_ublend,P,P_expected,Lambda,N,b,s,E,A,L,nb,Q
False,0.9,0.9003109,4000,10,3,10,3995,148,161,25,0.4352874
False,0.9,0.9001567,4000,20,3,10,2012,96,109,19,0.5728383
False,0.9,0.9000169,4000,30,3,10,2000,160,173,11,0.7080067
False,0.9,0.9001441,4000,50,3,10,1334,189,202,6,1.093586
False,0.9,0.9000684,4000,40,3,10,1331,137,150,8,0.8772004
False,0.9,1.0,2000,2,3,10,2000,77,90,24,0.5587648
False,0.9,1.0,4000,2,3,10,4000,103,116,37,0.4153492
False,0.9,1.0,6000,2,3,10,6000,128,141,45,0.3523918
False,0.9,0.9014428,6000,10,3,10,5999,150,163,38,0.355593
False,0.9,0.900297,6000,20,3,10,3320,123,136,25,0.460341
False,0.9,0.9000064,6000,30,3,10,2990,151,164,18,0.5211182
False,0.9,0.9000297,6000,40,3,10,2998,217,230,12,0.6236097
False,0.9,0.9000291,6000,50,3,10,1997,168,181,10,0.7255009
False,0.9,0.9440882,4000,5,3,10,3999,100,113,38,0.4149798
False,0.9,0.9001111,4000,45,3,10,1332,161,174,7,0.9764729
False,0.9,0.9000981,4000,35,3,10,1337,114,127,10,0.7914671
False,0.9,0.9000065,4000,44,3,10,1332,157,170,7,0.9577091
False,0.9,0.900005,4000,49,3,10,1335,185,198,6,1.074106
False,0.9,0.900033,4000,47,3,10,1329,176,189,6,1.036277
False,0.9,0.9000199,4000,37,3,10,1334,123,136,9,0.8225275
False,0.9,0.9000974,4000,46,3,10,1333,165,178,7,0.9945507
False,0.9,0.9000893,4000,48,3,10,1335,181,194,6,1.055384
False,0.9,0.900173,4000,42,3,10,1334,145,158,8,0.9128805
False,0.9,0.9000106,4000,43,3,10,1331,153,166,7,0.9395901
False,0.9,0.9001097,4000,41,3,10,1333,141,154,8,0.894755
False,0.9,0.9000454,4000,25,3,10,1997,126,139,14,0.6280053
False,0.9,0.9000614,4000,36,3,10,1332,117,130,10,0.8082082
False,0.9,0.9001962,4000,38,3,10,1335,127,140,9,0.8406935
False,0.9,0.0,4000,100,3,10,0,0,13,0,2147483647.0
False,0.9,0.0,4000,80,3,10,0,0,13,0,2147483647.0
False,0.9,0.9000583,4000,39,3,10,1329,130,143,9,0.8582295
False,0.9,0.9000917,4000,58,3,10,1333,266,279,4,1.429873
False,0.9,0.9000022,4000,59,3,10,1001,198,211,4,1.452907
False,0.9,0.9000169,4000,57,3,10,1333,261,274,4,1.406436
False,0.9,0.9000953,4000,55,3,10,1001,164,177,5,1.257591
False,0.9,0.9000422,4000,56,3,10,1332,256,269,4,1.383977
False,0.9,0.0,4000,60,3,10,0,0,13,0,2147483647.0
False,0.9,1.0,10000,2,3,10,10000,164,177,59,0.2898915
False,0.9,0.9092418,10000,10,3,10,10000,164,177,59,0.2898915
False,0.9,0.9000411,10000,30,3,10,5022,148,161,32,0.3863644
False,0.9,0.0,4000,85,3,10,0,0,13,0,2147483647.0
False,0.9,0.9001148,4000,15,3,10,2343,102,115,21,0.5337597
False,0.9,0.9002784,4000,9,3,10,3998,129,142,29,0.4222682
False,0.9,1.0,4000,1,3,10,4000,103,116,37,0.4153492
False,0.9,0.9001508,4000,18,3,10,2108,96,109,20,0.558456
False,0.9,0.9003327,4000,17,3,10,2138,93,106,21,0.5509039
False,0.9,0.9000413,4000,19,3,10,2037,93,106,20,0.5659081
False,0.9,0.9000121,10000,50,3,10,4998,266,279,17,0.4845332
False,0.9,0.9000181,4000,28,3,10,1996,146,159,12,0.6739213
False,0.9,1.0,8000,2,3,10,8000,151,164,51,0.3151177
False,0.9,0.9000447,8000,35,3,10,4002,178,191,21,0.4645817
False,0.9,0.9000202,8000,45,3,10,3992,240,253,15,0.5371366
False,0.9,0.900328,8000,49,3,10,2668,157,170,15,0.5692909
False,0.9,0.9000823,8000,44,3,10,4008,236,249,15,0.5290784
False,0.9,0.9001397,8000,30,3,10,3995,148,161,25,0.4352874
False,0.9,0.9000314,8000,48,3,10,3990,259,272,14,0.5628757
False,0.9,0.9000489,8000,50,3,10,2664,160,173,15,0.5770611
False,0.9,0.9000654,8000,47,3,10,4001,254,267,14,0.5537414
False,0.9,0.900007,8000,46,3,10,3997,246,259,15,0.5459452
False,0.9,0.900535,8000,40,3,10,4008,211,224,17,0.4985537
False,0.9,0.9000632,8000,75,3,10,2666,264,277,9,0.7823267
False,0.9,0.9000725,8000,66,3,10,2669,227,240,10,0.7012621
False,0.9,0.9000661,8000,65,3,10,2667,220,233,11,0.6916768
False,0.9,0.9000016,8000,100,3,10,2663,419,432,5,1.121369
False,0.9,0.9000383,8000,85,3,10,2662,317,330,7,0.8950629
False,0.9,0.9000752,8000,80,3,10,2666,289,302,8,0.8345682
False,0.9,0.900008,8000,70,3,10,2664,241,254,10,0.7352637
False,0.9,0.9000396,8000,55,3,10,2664,180,193,13,0.6112582
False,0.9,0.9000922,8000,60,3,10,2669,200,213,12,0.6507415
False,0.9,0.9000884,8000,72,3,10,2667,253,266,9,0.7562923
False,0.9,0.9000062,8000,95,3,10,2665,372,385,6,1.016745
False,0.9,0.9000638,8000,73,3,10,2669,257,270,9,0.7651504
False,0.9,0.9000973,8000,69,3,10,2669,238,251,10,0.7270141
False,0.9,0.9000238,8000,64,3,10,2662,216,229,11,0.6834355
False,0.9,1.0,8000,1,3,10,8000,151,164,51,0.3151177
False,0.9,0.9000062,8000,71,3,10,2665,249,262,9,0.747421
False,0.9,0.900055,8000,68,3,10,2667,234,247,10,0.7181274
False,0.9,0.9000173,8000,67,3,10,2663,230,243,10,0.7096995
False,0.9,0.9000332,8000,90,3,10,1999,249,262,7,0.9526286
False,0.9,0.9000411,8000,20,3,10,4796,150,163,30,0.3963152
False,0.9,0.9000086,10000,80,3,10,3334,274,287,11,0.6706359
False,0.9,0.9000298,10000,100,3,10,3334,365,378,8,0.8259453
False,0.9,0.0,116,50,3,10,0,0,13,0,2147483647.0
False,0.9,0.9000064,8000,25,3,10,4182,135,148,29,0.4162019
False,0.9,0.9000568,10000,90,3,10,3335,320,333,9,0.7464885
False,0.9,0.9000089,10000,60,3,10,3365,198,211,15,0.5442071
False,0.9,0.9000241,10000,75,3,10,3332,253,266,12,0.6366916
False,0.9,0.9000617,10000,85,3,10,3333,296,309,10,0.7069758
False,0.9,0.900081,10000,65,3,10,3335,214,227,14,0.5732769
False,0.9,0.9000181,10000,95,3,10,3334,346,359,8,0.7903368
False,0.9,0.9000064,10000,70,3,10,3332,233,246,13,0.6042684
False,0.9,0.9000134,10000,55,3,10,3338,176,189,17,0.5169209
False,0.9,0.9000412,10000,45,3,10,5003,235,248,20,0.4555667
False,0.9,0.9000314,10000,25,3,10,5471,152,165,34,0.3720323
False,0.9,0.9000048,10000,35,3,10,4999,175,188,27,0.4045824
False,0.9,0.9000006,10000,20,3,10,9981,337,350,28,0.3459997
False,0.9,0.9000365,10000,40,3,10,5004,205,218,23,0.4281833
False,0.9,0.9620729,8000,5,3,10,8000,151,164,51,0.3151177
False,0.9,0.9005133,10000,15,3,10,10000,244,257,39,0.3060122
False,0.9,0.9003522,5000,20,3,10,2599,104,117,23,0.5069664
False,0.9,0.9000265,5000,35,3,10,2502,188,201,12,0.6588257
False,0.9,0.9003857,5000,25,3,10,2519,126,139,18,0.541466
False,0.9,0.9000323,5000,30,3,10,2511,157,170,14,0.5931002
False,0.9,0.9000311,5000,45,3,10,1667,150,163,10,0.785689
False,0.9,0.9001909,5000,40,3,10,1667,130,143,11,0.7208815
False,0.9,0.9000405,5000,50,3,10,1665,175,188,8,0.8600151
False,0.9,0.9000321,5000,55,3,10,1665,200,213,7,0.9436643
False,0.9,0.9000541,5000,60,3,10,1662,229,242,6,1.044061
False,0.9,0.9000076,5000,70,3,10,1253,238,251,4,1.376389
False,0.9,0.9000425,5000,65,3,10,1665,267,280,5,1.17476
False,0.9,0.0,5000,80,3,10,0,0,13,0,2147483647.0
False,0.9,0.9000165,7000,20,3,10,4011,134,147,28,0.4247284
False,0.9,0.9001025,7000,30,3,10,3536,154,167,21,0.4727707
False,0.9,0.9000609,7000,35,3,10,3501,180,193,18,0.5085841
False,0.9,0.9000494,7000,25,3,10,3582,128,141,26,0.4460175
False,0.9,0.9000132,7000,45,3,10,3497,244,257,13,0.5992164
False,0.9,0.9000558,7000,40,3,10,3502,212,225,15,0.5510513
False,0.9,0.9000018,7000,50,3,10,2338,163,176,13,0.6398122
False,0.9,0.9000672,7000,60,3,10,2335,205,218,10,0.7311653
False,0.9,0.9000516,7000,55,3,10,2334,184,197,11,0.6824798
False,0.9,0.9000389,7000,65,3,10,2334,227,240,9,0.7830853
False,0.9,0.9000214,7000,70,3,10,2333,251,264,8,0.8404064
False,0.9,0.900009,7000,80,3,10,2333,311,324,6,0.9865853
False,0.9,0.9000138,7000,75,3,10,2330,278,291,7,0.9065231
False,0.9,0.9000562,7000,85,3,10,2329,331,344,6,1.041798
False,0.9,0.900037,7000,90,3,10,2333,376,389,5,1.153414
False,0.9,0.9000725,7000,95,3,10,1749,327,340,4,1.326882
False,0.9,0.9000104,7000,100,3,10,1750,345,358,4,1.390439
False,0.9,1.0,7000,2,3,10,7000,143,156,47,0.3317975
False,0.9,0.9020305,8000,10,3,10,8000,151,164,51,0.3151177
False,0.9,0.9000322,10000,37,3,10,5001,187,200,25,0.412674
False,0.9,0.900029,10000,31,3,10,5001,152,165,31,0.3892599
False,0.9,0.9000147,10000,46,3,10,4997,241,254,19,0.4601307
False,0.9,0.9000257,10000,76,3,10,3337,260,273,11,0.6438913
False,0.9,0.9000347,10000,66,3,10,3328,217,230,14,0.5799456
False,0.9,0.9000008,10000,49,3,10,4997,259,272,18,0.4792497
False,0.9,0.9000089,10000,42,3,10,5009,218,231,21,0.4372919
False,0.9,0.900051,10000,51,3,10,5001,272,285,17,0.4917874
False,0.9,0.9000196,10000,39,3,10,5019,201,214,23,0.4221648
False,0.9,0.9000011,10000,71,3,10,3335,239,252,12,0.6099614
False,0.9,0.9000674,10000,41,3,10,5002,211,224,22,0.432432
False,0.9,0.9000183,10000,52,3,10,5000,279,292,16,0.4972307
False,0.9,0.9000248,10000,38,3,10,5001,193,206,24,0.4167846
False,0.9,0.9000381,10000,69,3,10,3337,230,243,13,0.5978665
False,0.9,0.9000705,10000,63,3,10,3374,211,224,14,0.5620268
False,0.9,0.9000647,10000,62,3,10,3334,202,215,15,0.556014
False,0.9,0.9002833,10000,34,3,10,5045,174,187,27,0.4003902
False,0.9,0.900052,10000,61,3,10,3339,199,212,15,0.5496882
False,0.9,0.9000249,10000,54,3,10,4991,290,303,16,0.5117531
False,0.9,0.9000495,10000,59,3,10,3340,191,204,16,0.5396514
False,0.9,0.9000348,10000,64,3,10,3328,210,223,14,0.5668031
False,0.9,0.9000135,10000,48,3,10,4989,253,266,18,0.4723743
False,0.9,0.9001362,10000,22,3,10,5882,159,172,35,0.3619863
False,0.9,0.9000751,10000,47,3,10,5001,247,260,19,0.4673237
False,0.9,0.9000403,10000,44,3,10,5000,229,242,20,0.4482936
False,0.9,0.9000219,10000,26,3,10,5419,155,168,33,0.3751629
False,0.9,0.900065,10000,43,3,10,5003,223,236,21,0.4439642
False,0.9,0.9000463,10000,57,3,10,3383,188,201,16,0.5282761
False,0.9,0.9000595,10000,28,3,10,5168,148,161,33,0.3810039
False,0.9,0.9000356,10000,79,3,10,3328,270,283,11,0.6641896
False,0.9,0.9000163,10000,23,3,10,5795,161,174,34,0.3654446
False,0.9,0.9000738,10000,29,3,10,5129,151,164,32,0.3836411
False,0.9,0.9000876,10000,58,3,10,3334,187,200,16,0.5329809
False,0.9,0.9000714,10000,36,3,10,5000,181,194,26,0.408629
False,0.9,0.9000061,10000,67,3,10,3338,223,236,13,0.5846083
False,0.9,0.9000613,10000,78,3,10,3335,267,280,11,0.657344
False,0.9,0.9000067,10000,53,3,10,5002,285,298,16,0.5045592
False,0.9,0.9000106,10000,68,3,10,3333,226,239,13,0.5909884
False,0.9,0.9000386,10000,56,3,10,3332,179,192,17,0.5233323
False,0.9,0.900022,10000,33,3,10,5059,169,182,28,0.396677
False,0.9,0.9000392,10000,77,3,10,3331,263,276,11,0.6505333
False,0.9,0.9000546,10000,27,3,10,5284,151,164,33,0.3779576
False,0.9,0.9000038,10000,72,3,10,3327,242,255,12,0.6168684
False,0.9,0.9005574,10000,32,3,10,5052,163,176,29,0.3930458
False,0.9,0.9000942,10000,81,3,10,3336,278,291,11,0.6777743
False,0.9,0.9000752,10000,73,3,10,3333,246,259,12,0.6234019
False,0.9,0.9003359,10000,24,3,10,5615,156,169,34,0.3690106
False,0.9,0.9000454,10000,74,3,10,3337,250,263,12,0.6302411
False,0.9,0.9001523,10000,21,3,10,9995,357,370,26,0.3547427
False,0.9,0.9000051,10000,19,3,10,9979,318,331,30,0.3375498
False,0.9,0.9000082,10000,18,3,10,9977,299,312,32,0.3290965
False,0.9,0.9000287,10000,82,3,10,3333,285,298,10,0.6863542
False,0.9,0.9000878,10000,83,3,10,3335,289,302,10,0.6934852
False,0.9,0.9000167,10000,84,3,10,3329,292,305,10,0.7002206
False,0.9,0.9000007,10000,17,3,10,9976,280,293,34,0.3206157
False,0.9,0.900542,10000,16,3,10,9993,263,276,36,0.3129668
False,0.95,0.9500074,8000,20,3,10,3992,144,157,26,0.4335348
False,0.95,0.9500546,8000,50,3,10,2004,164,177,11,0.7192263
False,0.95,1.0,8000,2,3,10,8000,151,164,51,0.3151177
False,0.9,0.9871943,8000,3,3,10,8000,151,164,51,0.3151177
False,0.9,0.9745527,8000,4,3,10,8000,151,164,51,0.3151177
False,0.9,0.9497529,8000,6,3,10,8000,151,164,51,0.3151177
False,0.9,0.9375906,8000,7,3,10,8000,151,164,51,0.3151177
False,0.9,0.9255842,8000,8,3,10,8000,151,164,51,0.3151177
False,0.9,0.9137315,8000,9,3,10,8000,151,164,51,0.3151177
False,0.9,0.9001779,8000,11,3,10,8000,167,180,46,0.3170312
False,0.9,0.9001945,8000,12,3,10,7997,186,199,41,0.3213782
False,0.9,0.9002153,8000,13,3,10,7994,205,218,37,0.3278466
False,0.9,0.9001392,8000,14,3,10,8000,224,237,34,0.3361512
False,0.9,0.9000021,8000,15,3,10,7977,242,255,31,0.344619
False,0.9,0.9000008,8000,16,3,10,7979,261,274,29,0.3551873
False,0.9,0.900008,8000,17,3,10,7980,280,293,27,0.3657861
False,0.9,0.9000022,8000,18,3,10,7982,299,312,25,0.3763452
False,0.9,0.9004168,8000,19,3,10,7999,320,333,23,0.3878869
False,0.9,0.9000171,8000,21,3,10,4628,145,158,30,0.4010239
False,0.9,0.9000524,8000,22,3,10,4474,140,153,30,0.4050689
False,0.9,0.9000042,8000,23,3,10,4344,136,149,30,0.4090243
False,0.9,0.9000365,8000,24,3,10,4221,132,145,30,0.4126722
False,0.9,0.900054,8000,26,3,10,4081,132,145,29,0.4199134
False,0.9,0.9000719,8000,27,3,10,4048,135,148,28,0.4231269
False,0.9,0.900018,8000,28,3,10,4028,139,152,27,0.4268285
False,0.9,0.9005787,8000,29,3,10,4003,143,156,26,0.4310041
False,0.9,0.9000533,8000,31,3,10,4000,154,167,24,0.4399833
False,0.9,0.9001053,8000,32,3,10,3999,160,173,23,0.4452137
False,0.9,0.9002184,8000,33,3,10,4007,167,180,22,0.4511755
False,0.9,0.9000866,8000,34,3,10,4024,175,188,21,0.4578243
False,0.9,0.9000406,8000,36,3,10,4000,184,197,20,0.469913
False,0.9,0.9000457,8000,37,3,10,4005,191,204,19,0.47612
False,0.9,0.9000383,8000,38,3,10,4000,196,209,19,0.4844248
False,0.9,0.9000234,8000,39,3,10,3989,202,215,18,0.4906917
False,0.9,0.9000192,8000,41,3,10,4001,215,228,17,0.5055317
False,0.9,0.9003481,8000,42,3,10,3995,222,235,16,0.5128796
False,0.9,0.9000324,8000,43,3,10,3990,227,240,16,0.5212513
False,0.9,0.9000079,8000,51,3,10,2718,170,183,14,0.5839572
False,0.9,0.9000039,8000,52,3,10,2663,168,181,14,0.5896597
False,0.9,0.9000707,8000,53,3,10,2669,172,185,14,0.5978798
False,0.9,0.9000651,8000,54,3,10,2697,180,193,13,0.6047656
False,0.9,0.9000982,8000,56,3,10,2669,184,197,13,0.6196285
False,0.9,0.900012,8000,57,3,10,2701,193,206,12,0.6277938
False,0.9,0.9001104,8000,58,3,10,2670,193,206,12,0.6341465
False,0.9,0.9000467,8000,59,3,10,2665,196,209,12,0.6422188
False,0.9,0.9000925,8000,61,3,10,2670,206,219,11,0.6582273
False,0.9,0.9000281,8000,62,3,10,2665,209,222,11,0.6663447
False,0.9,0.9000126,8000,63,3,10,2669,213,226,11,0.6748313
False,0.9,0.9000263,8000,74,3,10,2663,260,273,9,0.7737317
False,0.9,0.9000052,8000,76,3,10,2668,274,287,8,0.7988736
False,0.9,0.9000258,8000,77,3,10,2669,278,291,8,0.8079688
False,0.9,0.9000311,8000,78,3,10,2662,281,294,8,0.8169232
False,0.9,0.9000548,8000,79,3,10,2664,285,298,8,0.8257523
False,0.9,0.9000138,8000,81,3,10,2668,293,306,8,0.8433709
False,0.9,0.9000498,8000,82,3,10,2668,306,319,7,0.8674697
False,0.9,0.9001016,8000,83,3,10,2668,310,323,7,0.8768376
False,0.9,0.9000389,8000,84,3,10,2669,314,327,7,0.8859036
False,0.9,0.9000367,8000,86,3,10,2663,321,334,7,0.9041425
False,0.9,0.900034,8000,87,3,10,2664,325,338,7,0.9132153
False,0.9,0.90003,8000,88,3,10,2665,329,342,7,0.9222813
False,0.9,0.9000249,8000,89,3,10,2666,333,346,7,0.9313405
False,0.9,0.9000281,8000,91,3,10,2667,356,369,6,0.9785577
False,0.9,0.9000626,8000,92,3,10,2666,360,373,6,0.9882694
False,0.9,0.9000245,8000,93,3,10,2666,364,377,6,0.9976443
False,0.9,0.9000428,8000,94,3,10,2665,368,381,6,1.007367
False,0.9,0.9000261,8000,96,3,10,2664,376,389,6,1.026479
False,0.9,0.9000469,8000,97,3,10,2663,380,393,6,1.036219
False,0.9,0.9000021,8000,98,3,10,2002,284,297,6,1.052101
False,0.9,0.9000362,8000,99,3,10,2665,415,428,5,1.111209
False,0.95,0.9871943,8000,3,3,10,8000,151,164,51,0.3151177
False,0.95,0.9745527,8000,4,3,10,8000,151,164,51,0.3151177
False,0.95,0.9620729,8000,5,3,10,8000,151,164,51,0.3151177
False,0.95,0.950681,8000,6,3,10,8000,154,167,50,0.3153442
False,0.95,0.9500466,8000,7,3,10,8000,191,204,40,0.3230765
False,0.95,0.9500359,8000,8,3,10,8000,230,243,33,0.3387208
False,0.95,0.9500293,8000,9,3,10,8000,269,282,28,0.3585984
False,0.95,0.950025,8000,10,3,10,8000,308,321,24,0.3805926
